year,sourceId,targetId,id,type,citationcount,count
1992,p0012,p0227,53e9a011b7602d97028f82b9,Co-co-author,87,1
1992,p0012,p0291,53e9a011b7602d97028f82b9,Co-co-author,87,1
1992,p0012,p2547,53e9a011b7602d97028f82b9,Co-co-author,87,1
1992,p0227,p0431,53e9bb22b7602d970475c43d,Co-co-author,44,1
1992,p0227,p0449,53e9bb22b7602d970475c43d,Co-co-author,44,1
1992,p0227,p2551,53e997ecb7602d9701fe8112,Co-co-author,0,1
1992,p0340,p0227,53e9bdb8b7602d9704a641cc,Co-co-author,26,1
1992,p0431,p0227,53e9ac39b7602d9703604279,Co-co-author,763,1
1992,p0431,p0449,53e9ac39b7602d9703604279,Co-co-author,763,1
1992,p0449,p0227,53e9ba38b7602d97046464ec,Co-co-author,429,1
1992,p1533,p2097,53e9a4a3b7602d9702dc4f47,Co-co-author,39,1
1992,p2266,p0227,53e9b19cb7602d9703c24fd6,Co-co-author,701,1
1992,p2266,p0687,53e9b19cb7602d9703c24fd6,Co-co-author,701,1
1993,p0140,p0227,573695d56e3b12023e4ed1ae,Co-co-author,218,1
1993,p0140,p0655,573695d56e3b12023e4ed1ae,Co-co-author,218,1
1993,p0140,p1166,573695d56e3b12023e4ed1ae,Co-co-author,218,1
1993,p0140,p2231,573695d56e3b12023e4ed1ae,Co-co-author,218,1
1993,p0227,p0470,573695d56e3b12023e4ed200,Co-co-author,6,1
1993,p0589,p0227,53e9bddbb7602d9704a8b8ff,Co-co-author,177,1
1993,p1533,p1159,53e9ad26b7602d970370976e,Co-co-author,34,1
1993,p1533,p2097,53e99a3cb7602d970229d59a,Co-co-author,19,1
1993,p1569,p0227,53e9ade9b7602d97037f52d3,Co-co-author,3,1
1993,p1569,p1858,53e9ade9b7602d97037f52d3,Co-co-author,3,1
1993,p2551,p0227,60d30937e4510cd7c86acd7f,Co-co-author,0,1
1993,p2776,p0227,53e9a0d8b7602d97029bfb70,Co-co-author,13,1
1993,p2776,p0319,53e9a0d8b7602d97029bfb70,Co-co-author,13,1
1993,p2776,p0497,53e9a0d8b7602d97029bfb70,Co-co-author,13,1
1993,p2776,p2000,53e9a0d8b7602d97029bfb70,Co-co-author,13,1
1993,p2776,p2575,53e9a0d8b7602d97029bfb70,Co-co-author,13,1
1993,p2816,p0227,53e9b844b7602d9704407c41,Co-co-author,28,1
1994,p0138,p0875,53e9a981b7602d97032d9675,Co-co-author,1,1
1994,p0138,p2578,53e9a981b7602d97032d9675,Co-co-author,1,1
1994,p0140,p0227,53e9bc3bb7602d97048ae1d5,Co-co-author,335,1
1994,p0221,p0227,53e9a002b7602d97028e3f1e,Co-co-author,2,1
1994,p0221,p1628,53e9a002b7602d97028e3f1e,Co-co-author,2,1
1994,p0221,p1943,53e9a002b7602d97028e3f1e,Co-co-author,2,1
1994,p0221,p2602,53e9a002b7602d97028e3f1e,Co-co-author,2,1
1994,p0227,p0340,53e9b689b7602d97041f9ca6,Co-co-author,54,1
1994,p0431,p0227,53e999cab7602d970220dd00,Co-co-author,305,1
1994,p0431,p0227,53e9af12b7602d970394c112,Co-co-author,137,1
1994,p0431,p0227,53e9b976b7602d9704561df6,Co-co-author,1519,1
1994,p0687,p0227,53e99e5bb7602d970271f34c,Co-co-author,168,1
1994,p0687,p2267,53e99e5bb7602d970271f34c,Co-co-author,168,1
1994,p1533,p0358,573696606e3b12023e56d5da,Co-co-author,492,1
1994,p1533,p1159,573696606e3b12023e56d5da,Co-co-author,492,1
1994,p1533,p1849,573696606e3b12023e56d5da,Co-co-author,492,1
1994,p1533,p3019,53e9b7adb7602d9704357524,Co-co-author,34,1
1994,p1668,p0270,53e997c1b7602d9701fac36e,Co-co-author,167,1
1994,p1668,p0270,53e9bd64b7602d9704a02eac,Co-co-author,10,1
1994,p1668,p1319,53e997c1b7602d9701fac36e,Co-co-author,167,1
1994,p1668,p1319,53e9bd64b7602d9704a02eac,Co-co-author,10,1
1994,p1668,p1334,53e997c1b7602d9701fac36e,Co-co-author,167,1
1994,p1668,p1334,53e9bd64b7602d9704a02eac,Co-co-author,10,1
1994,p2212,p0227,53e9b240b7602d9703cdce9e,Co-co-author,165,1
1994,p2765,p0227,53e9b937b7602d9704521ed9,Co-co-author,33,1
1995,p0153,p0227,53e9baa0b7602d97046cf5f7,Co-co-author,61,1
1995,p0153,p0340,53e9baa0b7602d97046cf5f7,Co-co-author,61,1
1995,p0227,p0705,53e9ab3db7602d97034cb583,Co-co-author,142,1
1995,p0227,p1490,53e9ab3db7602d97034cb583,Co-co-author,142,1
1995,p0227,p1759,53e9ab3db7602d97034cb583,Co-co-author,142,1
1995,p0320,p0767,53e99bd5b7602d9702481863,Co-co-author,0,1
1995,p0320,p0864,53e99bd5b7602d9702481863,Co-co-author,0,1
1995,p0320,p2578,53e99bd5b7602d9702481863,Co-co-author,0,1
1995,p0320,p2739,53e99bd5b7602d9702481863,Co-co-author,0,1
1995,p0340,p0227,53e9b5e7b7602d970413b833,Co-co-author,294,1
1995,p0340,p0227,53e9bb59b7602d970479594c,Co-co-author,24,1
1995,p0340,p0546,53e9b5e7b7602d970413b833,Co-co-author,294,1
1995,p0657,p0227,53e9a946b7602d970329908f,Co-co-author,4,1
1995,p0657,p0545,53e9a946b7602d970329908f,Co-co-author,4,1
1995,p0657,p2054,53e9a946b7602d970329908f,Co-co-author,4,1
1995,p1216,p0227,53e9b05cb7602d9703abdfa7,Co-co-author,15,1
1995,p1711,p0227,53e9b0a0b7602d9703b0b250,Co-co-author,18,1
1995,p1711,p0706,53e9b0a0b7602d9703b0b250,Co-co-author,18,1
1995,p1711,p0886,53e9b0a0b7602d9703b0b250,Co-co-author,18,1
1995,p1711,p1324,53e9b0a0b7602d9703b0b250,Co-co-author,18,1
1995,p1711,p2268,53e9b0a0b7602d9703b0b250,Co-co-author,18,1
1995,p1711,p2920,53e9b0a0b7602d9703b0b250,Co-co-author,18,1
1995,p1993,p1718,53e9ba17b7602d970461fdbe,Co-co-author,61,1
1995,p1993,p2535,53e9ba17b7602d970461fdbe,Co-co-author,61,1
1995,p1993,p2578,53e9ba17b7602d970461fdbe,Co-co-author,61,1
1995,p2315,p1423,53e9b212b7602d9703ca8267,Co-co-author,33,1
1995,p2315,p1533,53e9b212b7602d9703ca8267,Co-co-author,33,1
1995,p2578,p2057,53e99c91b7602d9702543e0c,Co-co-author,311,1
1995,p2666,p0227,53e9aa95b7602d970340d8f8,Co-co-author,3,1
1995,p2666,p1103,53e9aa95b7602d970340d8f8,Co-co-author,3,1
1995,p2666,p1695,53e9aa95b7602d970340d8f8,Co-co-author,3,1
1995,p2666,p2914,53e9aa95b7602d970340d8f8,Co-co-author,3,1
1995,p2702,p0227,53e9a72eb7602d9703066d35,Co-co-author,116,1
1995,p2702,p0227,53e9b1d1b7602d9703c61413,Co-co-author,41,1
1995,p2702,p0580,53e9a72eb7602d9703066d35,Co-co-author,116,1
1995,p2702,p0580,53e9b1d1b7602d9703c61413,Co-co-author,41,1
1996,p0097,p1334,53e9a4cfb7602d9702ded4ba,Co-co-author,4,1
1996,p0097,p1711,53e9a4cfb7602d9702ded4ba,Co-co-author,4,1
1996,p0686,p0227,53e9acbcb7602d970369b25e,Co-co-author,48,1
1996,p0686,p2208,53e9acbcb7602d970369b25e,Co-co-author,48,1
1996,p0813,p0225,53e99ad7b7602d9702359958,Co-co-author,1,1
1996,p0813,p0227,53e99ad7b7602d9702359958,Co-co-author,1,1
1996,p0813,p2092,53e99ad7b7602d9702359958,Co-co-author,1,1
1996,p0906,p0197,53e9a238b7602d9702b3e844,Co-co-author,7,1
1996,p0906,p0797,53e9a238b7602d9702b3e844,Co-co-author,7,1
1996,p0906,p1167,53e9a238b7602d9702b3e844,Co-co-author,7,1
1996,p0906,p1334,53e9a238b7602d9702b3e844,Co-co-author,7,1
1996,p0906,p1711,53e9a238b7602d9702b3e844,Co-co-author,7,1
1996,p0906,p1827,53e9a238b7602d9702b3e844,Co-co-author,7,1
1996,p0906,p2211,53e9a238b7602d9702b3e844,Co-co-author,7,1
1996,p0962,p0445,53e99959b7602d970219879b,Co-co-author,138,1
1996,p0962,p1533,53e99959b7602d970219879b,Co-co-author,138,1
1996,p1533,p1339,53e9a52cb7602d9702e4d294,Co-co-author,81,1
1996,p1533,p2811,53e9a52cb7602d9702e4d294,Co-co-author,81,1
1996,p1847,p0227,53e9a29eb7602d9702ba8ba5,Co-co-author,0,1
1996,p1847,p1326,53e9a29eb7602d9702ba8ba5,Co-co-author,0,1
1996,p1847,p2244,53e9a29eb7602d9702ba8ba5,Co-co-author,0,1
1996,p1847,p2536,53e9a29eb7602d9702ba8ba5,Co-co-author,0,1
1996,p2429,p0447,53e99a1ab7602d970226f94a,Co-co-author,122,1
1996,p2429,p1533,53e99a1ab7602d970226f94a,Co-co-author,122,1
1996,p2578,p0261,53e9b9f5b7602d97045ef2bd,Co-co-author,119,1
1996,p2578,p0726,53e9b9f5b7602d97045ef2bd,Co-co-author,119,1
1996,p2578,p3078,53e9b9f5b7602d97045ef2bd,Co-co-author,119,1
1997,p0097,p1334,53e9bbb5b7602d97048012f5,Co-co-author,31,1
1997,p0097,p1711,53e9bbb5b7602d97048012f5,Co-co-author,31,1
1997,p0227,p2054,53e9aba4b7602d9703551cb0,Co-co-author,502,1
1997,p0227,p2770,53e9a5e2b7602d9702f0b9a7,Co-co-author,368,1
1997,p0227,p0644,53e9a5e2b7602d9702f0b9a7,Co-co-author,368,1
1997,p0340,p0227,53e9be09b7602d9704abbab7,Co-co-author,16,1
1997,p0340,p1499,53e9be09b7602d9704abbab7,Co-co-author,16,1
1997,p0340,p2683,53e9be09b7602d9704abbab7,Co-co-author,16,1
1997,p0686,p0227,53e9adc8b7602d97037d0e75,Co-co-author,28,1
1997,p0686,p0227,635bcab890e50fcafd33d0cc,Co-co-author,31,1
1997,p0686,p2208,53e9adc8b7602d97037d0e75,Co-co-author,28,1
1997,p0686,p2208,635bcab890e50fcafd33d0cc,Co-co-author,31,1
1997,p0736,p0227,53e9988cb7602d97020c50d0,Co-co-author,206,1
1997,p0736,p0227,53e9a178b7602d9702a6d94c,Co-co-author,74,1
1997,p1009,p0227,53e9a1edb7602d9702aeb1bc,Co-co-author,143,1
1997,p1009,p0340,53e9a1edb7602d9702aeb1bc,Co-co-author,143,1
1997,p1270,p0227,53e9a003b7602d97028e91b5,Co-co-author,5,1
1997,p1270,p2054,53e9a003b7602d97028e91b5,Co-co-author,5,1
1997,p1499,p0227,53e9b7d9b7602d9704388db5,Co-co-author,36,1
1997,p1499,p0340,53e9b7d9b7602d9704388db5,Co-co-author,36,1
1997,p1499,p2683,53e9b7d9b7602d9704388db5,Co-co-author,36,1
1997,p1533,p2757,53e9b6e1b7602d9704274a7f,Co-co-author,51,1
1997,p1544,p0227,53e9bde2b7602d9704a9644c,Co-co-author,13,1
1997,p1544,p0861,53e9bde2b7602d9704a9644c,Co-co-author,13,1
1997,p1614,p0227,53e99a2bb7602d97022861ec,Co-co-author,19,1
1997,p1614,p0334,53e99a2bb7602d97022861ec,Co-co-author,19,1
1997,p1614,p1513,53e99a2bb7602d97022861ec,Co-co-author,19,1
1997,p1614,p2223,53e99a2bb7602d97022861ec,Co-co-author,19,1
1997,p1614,p2295,53e99a2bb7602d97022861ec,Co-co-author,19,1
1997,p2270,p0227,53e99c12b7602d97024bcea9,Co-co-author,137,1
1997,p2429,p0430,53e99998b7602d97021dbece,Co-co-author,158,1
1997,p2429,p1533,53e99998b7602d97021dbece,Co-co-author,158,1
1997,p2712,p1533,53e99c04b7602d97024b2ae4,Co-co-author,18,1
1998,p0227,p0340,53e99c0bb7602d97024b797e,Co-co-author,2,1
1998,p0227,p0644,53e99a2ab7602d9702282405,Co-co-author,220,1
